Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
1.625,0.04749439772182254,0.0006799999999999999,0.0006799999999999999,1,0.0006799999999999999
1.63,0.047274397721822535,0.00046,0.00045999999999999996,1,0.00046
1.635,0.047274397721822535,0.00046,0.00045999999999999996,1,0.00046
1.64,0.047414397721822536,0.0006,0.0006,1,0.0006
1.645,0.04749439772182254,0.0006799999999999999,0.0006799999999999999,1,0.0006799999999999999
1.65,0.047454397721822535,0.00064,0.00064,1,0.00064
1.655,0.04740439772182254,0.00059,0.00059,1,0.00059
1.66,0.04733439772182254,0.0005200000000000001,0.0005200000000000001,1,0.0005200000000000001
1.665,0.04721439772182254,0.0004,0.0004,1,0.0004
1.67,0.04704439772182254,0.00023,0.00022999999999999998,1,0.00023
1.675,0.046914397721822536,0.0001,0.0001,1,0.0001
1.68,0.04681439772182254,0.0,0.0,1,0.0
1.685,0.04647439772182254,-0.00034,-0.00033999999999999997,1,-0.00034
1.69,0.04649439772182254,-0.00032,-0.00032,1,-0.00032
1.695,0.046664397721822536,-0.00015,-0.00015,1,-0.00015
1.7,0.04681439772182254,0.0,0.0,1,0.0
1.705,0.04681439772182254,0.0,0.0,1,0.0
1.71,0.046684397721822535,-0.00013000000000000002,-0.00013000000000000002,1,-0.00013000000000000002
1.715,0.046684397721822535,-0.00013000000000000002,-0.00013000000000000002,1,-0.00013000000000000002
1.72,0.046414397721822535,-0.0004,-0.0004,1,-0.0004
1.725,0.04615439772182254,-0.00066,-0.00066,1,-0.00066
1.73,0.04604439772182254,-0.0007700000000000001,-0.0007700000000000001,1,-0.0007700000000000001
1.735,0.04615439772182254,-0.00066,-0.00066,1,-0.00066
1.74,0.046324397721822536,-0.00049,-0.00049,1,-0.00049
1.745,0.04638439772182254,-0.00043,-0.00043,1,-0.00043
1.75,0.046594397721822535,-0.00022,-0.00022,1,-0.00022
1.755,0.04692439772182254,0.00011,0.00011,1,0.00011
1.76,0.04710439772182254,0.00029,0.00029,1,0.00029
1.765,0.04730439772182254,0.00049,0.00049,1,0.00049
